,road_name,road_length,highway,crossing,service,traffic_signals,tertiary,residential,motorway_junction,motorway,min_lat,min_lon,max_lat,max_lon,num_events_accidentsAndIncidents
34953,Greenwich Road,4.27247572155,{'residential': 1},0,0,0,0,1,0,0,38.67854,-77.669881,38.739188,-77.65414,0.0
37044,Moore Drive,2.57904181304,{'residential': 1},0,0,0,0,1,0,0,38.706774,-77.435343,38.742147,-77.419962,0.0
58003,Hooes Road,2.35869382094,"{'traffic_signals': 1, 'secondary': 1}",0,0,1,0,0,0,0,38.7099598,-77.2557915,38.743748,-77.249335,0.0
117498,Prince William Parkway,2.94848018946,"{'traffic_signals': 1, 'trunk': 1}",0,0,1,0,0,0,0,38.7107317,-77.4509663,38.7397238,-77.4107772,0.0
110830,Prince William Parkway,2.98467969812,"{'traffic_signals': 4, 'trunk': 1}",0,0,4,0,0,0,0,38.710906,-77.4514866,38.7401624,-77.4106956,0.0
87630,n/a,3.08721721585,{'cycleway': 1},0,0,0,0,0,0,0,38.7110315,-77.4532436,38.7409767,-77.4106818,0.0
37611,Lonesome Road,1.84768624342,{'residential': 1},0,0,0,0,1,0,0,38.711216,-77.609771,38.737842,-77.606336,0.0
91751,Burwell Road,2.77157297211,{'residential': 1},0,0,0,0,1,0,0,38.711388,-77.647688,38.750447,-77.635819,0.0
87629,n/a,1.98733387315,{'cycleway': 1},0,0,0,0,0,0,0,38.7135282,-77.4642751,38.7401365,-77.4502063,0.0
55342,Prince William Parkway,1.87677230071,"{'traffic_signals': 3, 'trunk': 1}",0,0,3,0,0,0,0,38.7145677,-77.4644646,38.739395,-77.45028,0.0
38170,Prince William Parkway,1.90983577407,"{'traffic_signals': 4, 'trunk': 1}",0,0,4,0,0,0,0,38.7147476,-77.4645019,38.7401624,-77.450507,0.0
39263,Mount Vernon Trail,2.14429750929,"{'crossing': 6, 'cycleway': 1}",6,0,0,0,0,0,0,38.7161253,-77.0493654,38.7466682,-77.0421556,0.0
37311,Manley Road,1.35809374541,{'residential': 1},0,0,0,0,1,0,0,38.717115,-77.623229,38.736533,-77.619209,0.0
103594,Fort Hunt Road,3.08744025135,"{'traffic_signals': 3, 'secondary': 1}",0,0,3,0,0,0,0,38.7192875,-77.0614322,38.7636025,-77.0537697,0.0
11079,Riverview Road,1.82795890922,{'residential': 1},0,0,0,0,1,0,0,38.721952,-77.028356,38.739251,-77.002665,0.0
104137,Pohick Road,2.25443726089,"{'crossing': 1, 'secondary': 1}",1,0,0,0,0,0,0,38.7228471,-77.2464321,38.7444118,-77.2150024,0.0
28582,Riverside Road,0.885384166981,"{'crossing': 1, 'tertiary': 1}",1,0,0,1,0,0,0,38.723302,-77.068811,38.735932,-77.065968,0.0
37534,Prince William Parkway,1.27923163108,"{'traffic_signals': 1, 'trunk': 1}",0,0,1,0,0,0,0,38.723511,-77.5130624,38.7367389,-77.496433,0.0
